ts,side,usd_notional,cascade
2026-05-07 01:07:01.037,sell,321.76,0
2026-05-07 01:07:01.319,sell,9251.08,0
2026-05-07 01:07:01.659,sell,4424.11,0
2026-05-07 01:07:01.837,sell,16087.5,0
2026-05-07 01:07:02.718,sell,2010.91,0
2026-05-07 01:07:02.907,sell,1126.07,0
2026-05-07 01:07:04.079,sell,80.43,0
2026-05-07 01:07:05.067,sell,5629.84,0
2026-05-07 01:07:05.307,sell,4825.78,0
2026-05-07 01:07:06.465,sell,160.85,0
2026-05-07 01:07:06.935,sell,13752.62,0
2026-05-07 01:07:11.548,sell,6192.12,0
2026-05-07 01:07:11.557,sell,160.84,0
2026-05-07 01:07:11.683,sell,321.68,0
2026-05-07 01:07:11.688,sell,482.54,0
2026-05-07 01:07:12.161,sell,6674.59,0
2026-05-07 01:07:12.471,sell,3779.57,0
2026-05-07 01:07:13.075,sell,4905.08,0
2026-05-07 01:23:37.512,buy,1137.37,0
2026-05-07 01:31:00.943,buy,5468.9,0
2026-05-07 01:40:29.341,buy,163.29,0
2026-05-07 01:45:01.729,buy,1224.73,0
2026-05-07 01:47:29.698,buy,816.12,0
2026-05-07 01:49:37.910,buy,81.65,0
2026-05-07 02:01:59.118,buy,325.31,0
2026-05-07 02:02:00.487,buy,1547.69,0
2026-05-07 02:03:05.457,buy,2932.16,0
2026-05-07 02:07:17.939,buy,814.66,0
2026-05-07 02:08:56.212,sell,3790.52,0
2026-05-07 02:40:15.184,sell,13770.29,0
2026-05-07 02:45:19.235,buy,81.23,0
2026-05-07 02:45:19.418,buy,243.95,0
2026-05-07 03:09:34.299,buy,32560.36,0
2026-05-07 03:09:34.799,sell,322.7,0
2026-05-07 03:09:37.040,buy,11394.52,0
2026-05-07 03:09:39.887,buy,8134.91,0
2026-05-07 03:21:06.168,sell,402.65,0
2026-05-07 03:23:30.456,sell,6595.97,0
2026-05-07 03:24:19.476,sell,13754.83,0
2026-05-07 03:50:02.845,buy,640.68,0
2026-05-07 03:50:03.527,buy,974.18,0
2026-05-07 03:50:04.367,buy,32520.4,0
2026-05-07 03:50:04.945,buy,1137.98,0
2026-05-07 03:50:05.468,sell,1452,0
2026-05-07 03:50:06.493,buy,81.31,0
2026-05-07 03:50:06.868,buy,2917.95,0
2026-05-07 03:50:08.194,buy,12831.8,0
